# s [m],kappa [1/m]
2.000000,0.000000
4.000000,0.000000
6.000000,0.000000
8.000000,0.000000
10.000000,0.000000
12.000000,0.000000
14.000000,0.000000
16.000000,0.000000
18.000000,0.000000
20.000000,0.000000
22.000000,0.000000
24.000000,0.000000
26.000000,0.000000
28.000000,0.000000
30.000000,0.000000
32.000000,0.000000
34.000000,0.000000
36.000000,0.000000
38.000000,0.000000
40.000000,0.000000
42.000000,0.000000
44.000000,0.000000
46.000000,0.000000
48.000000,0.000000
50.000000,0.000000
52.000000,0.000000
54.000000,0.000000
56.000000,0.000000
58.000000,0.000000
60.000000,0.000000
62.000000,0.000000
64.000000,0.000000
66.000000,0.000000
68.000000,0.000000
70.000000,0.000000
72.000000,0.000000
74.000000,0.000000
76.000000,0.000000
78.000000,0.000000
80.000000,0.000000
82.000000,0.000000
84.000000,0.000000
86.000000,0.000000
88.000000,0.000000
90.000000,0.000000
92.000000,0.000000
94.000000,0.000000
96.000000,0.000000
98.000000,0.000000
100.000000,0.000000
102.000000,0.000000
104.000000,0.000000
106.000000,0.000000
108.000000,0.000000
110.000000,0.000000
112.000000,0.000000
114.000000,0.000000
116.000000,0.000000
118.000000,0.000000
120.000000,0.000000
122.000000,0.000000
124.000000,0.000000
126.000000,0.000000
128.000000,0.000000
130.000000,0.000000
132.000000,0.000000
134.000000,0.000000
136.000000,0.000000
138.000000,0.000000
140.000000,0.000000
142.000000,0.000000
144.000000,0.000000
146.000000,0.000000
148.000000,0.000000
150.000000,0.000000
152.000000,0.000000
154.000000,0.000000
156.000000,0.000000
158.000000,0.000000
160.000000,0.000000
162.000000,0.000000
164.000000,0.000000
166.000000,0.000000
168.000000,0.000000
170.000000,0.000000
172.000000,0.000000
174.000000,0.000000
176.000000,0.000000
178.000000,0.000000
180.000000,0.000000
182.000000,0.000000
184.000000,0.000000
186.000000,0.000000
188.000000,0.000000
190.000000,0.000000
192.000000,0.000000
194.000000,0.000000
196.000000,0.000000
198.000000,0.000000
200.000000,0.000000
202.000000,0.000000
204.000000,0.000000
206.000000,0.000000
208.000000,0.000000
210.000000,0.000000
212.000000,0.000000
214.000000,0.000000
216.000000,0.000000
218.000000,0.000000
220.000000,0.000000
222.000000,0.000000
224.000000,0.000000
226.000000,0.000000
228.000000,0.000000
230.000000,0.000000
232.000000,0.000000
234.000000,0.000000
236.000000,0.000000
238.000000,0.000000
240.000000,0.000000
242.000000,0.000000
244.000000,0.000000
246.000000,0.000000
248.000000,0.000000
250.000000,0.000000
252.000000,0.000000
254.000000,0.000000
256.000000,0.000000
258.000000,0.000000
260.000000,0.000000
262.000000,0.000000
264.000000,0.000000
266.000000,0.000000
268.000000,0.000000
270.000000,0.000000
272.000000,0.000000
274.000000,0.000000
276.000000,0.000000
278.000000,0.000000
280.000000,0.000000
282.000000,0.000000
284.000000,0.000000
286.000000,0.000000
288.000000,0.000000
290.000000,0.000000
292.000000,0.000000
294.000000,0.000000
296.000000,0.000000
298.000000,0.000000
300.000000,0.000000
302.000000,0.000000
304.000000,0.000000
306.000000,0.000000
308.000000,0.000000
310.000000,0.000000
312.000000,0.000000
314.000000,0.000000
316.000000,0.000000
318.000000,0.000000
320.000000,0.000000
322.000000,0.000000
324.000000,0.000000
326.000000,0.000000
328.000000,0.000000
330.000000,0.000000
332.000000,0.000000
334.000000,0.000000
336.000000,0.000000
338.000000,0.000000
340.000000,0.000000
342.000000,0.000000
344.000000,0.000000
346.000000,0.000000
348.000000,0.000000
350.000000,0.000000
352.000000,0.000000
354.000000,0.000000
356.000000,0.000000
358.000000,0.000000
360.000000,0.000000
362.000000,0.000000
364.000000,0.000000
366.000000,0.000000
368.000000,0.000000
370.000000,0.000000
372.000000,0.000000
374.000000,0.000000
376.000000,0.000000
378.000000,0.000000
380.000000,0.000000
382.000000,0.000000
384.000000,0.000000
386.000000,0.000000
388.000000,0.000000
390.000000,0.000000
392.000000,0.000000
394.000000,0.000000
396.000000,0.000000
398.000000,0.000000
400.000000,0.000000
402.000000,0.010000
404.000000,0.010000
406.000000,0.010000
408.000000,0.010000
410.000000,0.010000
412.000000,0.010000
414.000000,0.010000
416.000000,0.010000
418.000000,0.010000
420.000000,0.010000
422.000000,0.010000
424.000000,0.010000
426.000000,0.010000
428.000000,0.010000
430.000000,0.010000
432.000000,0.010000
434.000000,0.010000
436.000000,0.010000
438.000000,0.010000
440.000000,0.010000
442.000000,0.010000
444.000000,0.010000
446.000000,0.010000
448.000000,0.010000
450.000000,0.010000
452.000000,0.010000
454.000000,0.010000
456.000000,0.010000
458.000000,0.010000
460.000000,0.010000
462.000000,0.010000
464.000000,0.010000
466.000000,0.010000
468.000000,0.010000
470.000000,0.010000
472.000000,0.010000
474.000000,0.010000
476.000000,0.010000
478.000000,0.010000
480.000000,0.010000
482.000000,0.010000
484.000000,0.010000
486.000000,0.010000
488.000000,0.010000
490.000000,0.010000
492.000000,0.010000
494.000000,0.010000
496.000000,0.010000
498.000000,0.010000
500.000000,0.010000
502.000000,0.010000
504.000000,0.010000
506.000000,0.010000
508.000000,0.010000
510.000000,0.010000
512.000000,0.010000
514.000000,0.010000
516.000000,0.010000
518.000000,0.010000
520.000000,0.010000
522.000000,0.010000
524.000000,0.010000
526.000000,0.010000
528.000000,0.010000
530.000000,0.010000
532.000000,0.010000
534.000000,0.010000
536.000000,0.010000
538.000000,0.010000
540.000000,0.010000
542.000000,0.010000
544.000000,0.010000
546.000000,0.010000
548.000000,0.010000
550.000000,0.010000
552.000000,0.010000
554.000000,0.010000
556.000000,0.010000
558.000000,0.010000
560.000000,0.010000
562.000000,0.010000
564.000000,0.010000
566.000000,0.010000
568.000000,0.010000
570.000000,0.010000
572.000000,0.010000
574.000000,0.010000
576.000000,0.010000
578.000000,0.010000
580.000000,0.010000
582.000000,0.010000
584.000000,0.010000
586.000000,0.010000
588.000000,0.010000
590.000000,0.010000
592.000000,0.010000
594.000000,0.010000
596.000000,0.010000
598.000000,0.010000
600.000000,0.010000
602.000000,0.010000
604.000000,0.010000
606.000000,0.010000
608.000000,0.010000
610.000000,0.010000
612.000000,0.010000
614.000000,0.010000
616.000000,0.010000
618.000000,0.010000
620.000000,0.010000
622.000000,0.010000
624.000000,0.010000
626.000000,0.010000
628.000000,0.010000
630.000000,0.010000
632.000000,0.010000
634.000000,0.010000
636.000000,0.010000
638.000000,0.010000
640.000000,0.010000
642.000000,0.010000
644.000000,0.010000
646.000000,0.010000
648.000000,0.010000
650.000000,0.010000
652.000000,0.010000
654.000000,0.010000
656.000000,0.010000
658.000000,0.010000
660.000000,0.010000
662.000000,0.010000
664.000000,0.010000
666.000000,0.010000
668.000000,0.010000
670.000000,0.010000
672.000000,0.010000
674.000000,0.010000
676.000000,0.010000
678.000000,0.010000
680.000000,0.010000
682.000000,0.010000
684.000000,0.010000
686.000000,0.010000
688.000000,0.010000
690.000000,0.010000
692.000000,0.010000
694.000000,0.010000
696.000000,0.010000
698.000000,0.010000
700.000000,0.010000
702.000000,0.010000
704.000000,0.010000
706.000000,0.010000
708.000000,0.010000
710.000000,0.010000
712.000000,0.010000
714.000000,0.010000
714.159265,0.010000
716.159265,0.000000
718.159265,0.000000
720.159265,0.000000
722.159265,0.000000
724.159265,0.000000
726.159265,0.000000
728.159265,0.000000
730.159265,0.000000
732.159265,0.000000
734.159265,0.000000
736.159265,0.000000
738.159265,0.000000
740.159265,0.000000
742.159265,0.000000
744.159265,0.000000
746.159265,0.000000
748.159265,0.000000
750.159265,0.000000
752.159265,0.000000
754.159265,0.000000
756.159265,0.000000
758.159265,0.000000
760.159265,0.000000
762.159265,0.000000
764.159265,0.000000
766.159265,0.000000
768.159265,0.000000
770.159265,0.000000
772.159265,0.000000
774.159265,0.000000
776.159265,0.000000
778.159265,0.000000
780.159265,0.000000
782.159265,0.000000
784.159265,0.000000
786.159265,0.000000
788.159265,0.000000
790.159265,0.000000
792.159265,0.000000
794.159265,0.000000
796.159265,0.000000
798.159265,0.000000
800.159265,0.000000
802.159265,0.000000
804.159265,0.000000
806.159265,0.000000
808.159265,0.000000
810.159265,0.000000
812.159265,0.000000
814.159265,0.000000
816.159265,0.000000
818.159265,0.000000
820.159265,0.000000
822.159265,0.000000
824.159265,0.000000
826.159265,0.000000
828.159265,0.000000
830.159265,0.000000
832.159265,0.000000
834.159265,0.000000
836.159265,0.000000
838.159265,0.000000
840.159265,0.000000
842.159265,0.000000
844.159265,0.000000
846.159265,0.000000
848.159265,0.000000
850.159265,0.000000
852.159265,0.000000
854.159265,0.000000
856.159265,0.000000
858.159265,0.000000
860.159265,0.000000
862.159265,0.000000
864.159265,0.000000
866.159265,0.000000
868.159265,0.000000
870.159265,0.000000
872.159265,0.000000
874.159265,0.000000
876.159265,0.000000
878.159265,0.000000
880.159265,0.000000
882.159265,0.000000
884.159265,0.000000
886.159265,0.000000
888.159265,0.000000
890.159265,0.000000
892.159265,0.000000
894.159265,0.000000
896.159265,0.000000
898.159265,0.000000
900.159265,0.000000
902.159265,0.000000
904.159265,0.000000
906.159265,0.000000
908.159265,0.000000
910.159265,0.000000
912.159265,0.000000
914.159265,0.000000
916.159265,0.000000
918.159265,0.000000
920.159265,0.000000
922.159265,0.000000
924.159265,0.000000
926.159265,0.000000
928.159265,0.000000
930.159265,0.000000
932.159265,0.000000
934.159265,0.000000
936.159265,0.000000
938.159265,0.000000
940.159265,0.000000
942.159265,0.000000
944.159265,0.000000
946.159265,0.000000
948.159265,0.000000
950.159265,0.000000
952.159265,0.000000
954.159265,0.000000
956.159265,0.000000
958.159265,0.000000
960.159265,0.000000
962.159265,0.000000
964.159265,0.000000
966.159265,0.000000
968.159265,0.000000
970.159265,0.000000
972.159265,0.000000
974.159265,0.000000
976.159265,0.000000
978.159265,0.000000
980.159265,0.000000
982.159265,0.000000
984.159265,0.000000
986.159265,0.000000
988.159265,0.000000
990.159265,0.000000
992.159265,0.000000
994.159265,0.000000
996.159265,0.000000
998.159265,0.000000
1000.159265,0.000000
1002.159265,0.000000
1004.159265,0.000000
1006.159265,0.000000
1008.159265,0.000000
1010.159265,0.000000
1012.159265,0.000000
1014.159265,0.000000
1016.159265,0.000000
1018.159265,0.000000
1020.159265,0.000000
1022.159265,0.000000
1024.159265,0.000000
1026.159265,0.000000
1028.159265,0.000000
1030.159265,0.000000
1032.159265,0.000000
1034.159265,0.000000
1036.159265,0.000000
1038.159265,0.000000
1040.159265,0.000000
1042.159265,0.000000
1044.159265,0.000000
1046.159265,0.000000
1048.159265,0.000000
1050.159265,0.000000
1052.159265,0.000000
1054.159265,0.000000
1056.159265,0.000000
1058.159265,0.000000
1060.159265,0.000000
1062.159265,0.000000
1064.159265,0.000000
1066.159265,0.000000
1068.159265,0.000000
1070.159265,0.000000
1072.159265,0.000000
1074.159265,0.000000
1076.159265,0.000000
1078.159265,0.000000
1080.159265,0.000000
1082.159265,0.000000
1084.159265,0.000000
1086.159265,0.000000
1088.159265,0.000000
1090.159265,0.000000
1092.159265,0.000000
1094.159265,0.000000
1096.159265,0.000000
1098.159265,0.000000
1100.159265,0.000000
1102.159265,0.000000
1104.159265,0.000000
1106.159265,0.000000
1108.159265,0.000000
1110.159265,0.000000
1112.159265,0.000000
1114.159265,0.000000
1116.159265,0.010000
1118.159265,0.010000
1120.159265,0.010000
1122.159265,0.010000
1124.159265,0.010000
1126.159265,0.010000
1128.159265,0.010000
1130.159265,0.010000
1132.159265,0.010000
1134.159265,0.010000
1136.159265,0.010000
1138.159265,0.010000
1140.159265,0.010000
1142.159265,0.010000
1144.159265,0.010000
1146.159265,0.010000
1148.159265,0.010000
1150.159265,0.010000
1152.159265,0.010000
1154.159265,0.010000
1156.159265,0.010000
1158.159265,0.010000
1160.159265,0.010000
1162.159265,0.010000
1164.159265,0.010000
1166.159265,0.010000
1168.159265,0.010000
1170.159265,0.010000
1172.159265,0.010000
1174.159265,0.010000
1176.159265,0.010000
1178.159265,0.010000
1180.159265,0.010000
1182.159265,0.010000
1184.159265,0.010000
1186.159265,0.010000
1188.159265,0.010000
1190.159265,0.010000
1192.159265,0.010000
1194.159265,0.010000
1196.159265,0.010000
1198.159265,0.010000
1200.159265,0.010000
1202.159265,0.010000
1204.159265,0.010000
1206.159265,0.010000
1208.159265,0.010000
1210.159265,0.010000
1212.159265,0.010000
1214.159265,0.010000
1216.159265,0.010000
1218.159265,0.010000
1220.159265,0.010000
1222.159265,0.010000
1224.159265,0.010000
1226.159265,0.010000
1228.159265,0.010000
1230.159265,0.010000
1232.159265,0.010000
1234.159265,0.010000
1236.159265,0.010000
1238.159265,0.010000
1240.159265,0.010000
1242.159265,0.010000
1244.159265,0.010000
1246.159265,0.010000
1248.159265,0.010000
1250.159265,0.010000
1252.159265,0.010000
1254.159265,0.010000
1256.159265,0.010000
1258.159265,0.010000
1260.159265,0.010000
1262.159265,0.010000
1264.159265,0.010000
1266.159265,0.010000
1268.159265,0.010000
1270.159265,0.010000
1272.159265,0.010000
1274.159265,0.010000
1276.159265,0.010000
1278.159265,0.010000
1280.159265,0.010000
1282.159265,0.010000
1284.159265,0.010000
1286.159265,0.010000
1288.159265,0.010000
1290.159265,0.010000
1292.159265,0.010000
1294.159265,0.010000
1296.159265,0.010000
1298.159265,0.010000
1300.159265,0.010000
1302.159265,0.010000
1304.159265,0.010000
1306.159265,0.010000
1308.159265,0.010000
1310.159265,0.010000
1312.159265,0.010000
1314.159265,0.010000
1316.159265,0.010000
1318.159265,0.010000
1320.159265,0.010000
1322.159265,0.010000
1324.159265,0.010000
1326.159265,0.010000
1328.159265,0.010000
1330.159265,0.010000
1332.159265,0.010000
1334.159265,0.010000
1336.159265,0.010000
1338.159265,0.010000
1340.159265,0.010000
1342.159265,0.010000
1344.159265,0.010000
1346.159265,0.010000
1348.159265,0.010000
1350.159265,0.010000
1352.159265,0.010000
1354.159265,0.010000
1356.159265,0.010000
1358.159265,0.010000
1360.159265,0.010000
1362.159265,0.010000
1364.159265,0.010000
1366.159265,0.010000
1368.159265,0.010000
1370.159265,0.010000
1372.159265,0.010000
1374.159265,0.010000
1376.159265,0.010000
1378.159265,0.010000
1380.159265,0.010000
1382.159265,0.010000
1384.159265,0.010000
1386.159265,0.010000
1388.159265,0.010000
1390.159265,0.010000
1392.159265,0.010000
1394.159265,0.010000
1396.159265,0.010000
1398.159265,0.010000
1400.159265,0.010000
1402.159265,0.010000
1404.159265,0.010000
1406.159265,0.010000
1408.159265,0.010000
1410.159265,0.010000
1412.159265,0.010000
1414.159265,0.010000
1416.159265,0.010000
1418.159265,0.010000
1420.159265,0.010000
1422.159265,0.010000
1424.159265,0.010000
1426.159265,0.010000
1428.159265,0.010000
1428.318531,0.000000
